idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,sha3_compute_ms,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_j_compute_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id
23,1,0.539148,0.010148,0.529,104,sha3,0.006992,pair=UAV2<->UAV9; config=StadiumSHA3,0.001432,0.002064,0.224,0.004849,0.154,0.001803,0.151,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,2,9
24,1,0.487126,0.008126,0.479,104,sha3,0.00563,pair=UAV3<->UAV4; config=StadiumSHA3,0.001453,0.002104,0.186,0.002725,0.154,0.001844,0.139,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,3,4
25,1,0.468332,0.011332,0.457,104,sha3,0.007886,pair=UAV3<->UAV5; config=StadiumSHA3,0.001343,0.003727,0.155,0.002725,0.169,0.003537,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,3,5
26,1,0.486016,0.008016,0.478,104,sha3,0.005538,pair=UAV3<->UAV6; config=StadiumSHA3,0.001273,0.002084,0.177,0.002755,0.16,0.001904,0.141,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,3,6
27,1,0.450349,0.010349,0.44,104,sha3,0.007213,pair=UAV3<->UAV7; config=StadiumSHA3,0.001412,0.002735,0.154,0.002815,0.153,0.003387,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,3,7
28,1,0.503285,0.008285,0.495,104,sha3,0.005681,pair=UAV3<->UAV8; config=StadiumSHA3,0.001372,0.002284,0.166,0.002816,0.195,0.001813,0.134,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,3,8
29,1,0.493206,0.009206,0.484,104,sha3,0.006352,pair=UAV3<->UAV9; config=StadiumSHA3,0.001342,0.003316,0.155,0.002725,0.196,0.001823,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,3,9
30,1,0.448435,0.008435,0.44,104,sha3,0.00558,pair=UAV4<->UAV5; config=StadiumSHA3,0.001342,0.002264,0.153,0.002936,0.154,0.001893,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,4,5
31,1,0.459175,0.008175,0.451,104,sha3,0.005602,pair=UAV4<->UAV6; config=StadiumSHA3,0.001333,0.002234,0.154,0.002775,0.157,0.001833,0.14,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,4,6
32,1,0.449155,0.008155,0.441,104,sha3,0.005621,pair=UAV4<->UAV7; config=StadiumSHA3,0.001422,0.002134,0.154,0.002775,0.154,0.001824,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,4,7
33,1,0.452849,0.009849,0.443,104,sha3,0.006763,pair=UAV4<->UAV8; config=StadiumSHA3,0.001302,0.003978,0.154,0.002715,0.156,0.001854,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,4,8
34,1,0.475985,0.007985,0.468,104,sha3,0.005501,pair=UAV4<->UAV9; config=StadiumSHA3,0.001323,0.002094,0.154,0.002755,0.177,0.001813,0.137,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,4,9
35,1,0.462125,0.008125,0.454,104,sha3,0.005541,pair=UAV5<->UAV6; config=StadiumSHA3,0.001362,0.002124,0.157,0.002765,0.154,0.001874,0.143,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5,6
36,1,0.462355,0.008355,0.454,104,sha3,0.005541,pair=UAV5<->UAV7; config=StadiumSHA3,0.001282,0.002414,0.155,0.002795,0.166,0.001864,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5,7
37,1,0.449626,0.008626,0.441,104,sha3,0.005631,pair=UAV5<->UAV8; config=StadiumSHA3,0.001823,0.002074,0.154,0.002855,0.154,0.001874,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5,8
38,1,0.465789,0.009789,0.456,104,sha3,0.006633,pair=UAV5<->UAV9; config=StadiumSHA3,0.002405,0.002335,0.154,0.002775,0.17,0.002274,0.132,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5,9
39,1,0.465856,0.008856,0.457,104,sha3,0.006063,pair=UAV6<->UAV7; config=StadiumSHA3,0.001693,0.002324,0.153,0.002855,0.154,0.001984,0.15,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,6,7
40,1,0.477027,0.009027,0.468,104,sha3,0.006194,pair=UAV6<->UAV8; config=StadiumSHA3,0.002244,0.002154,0.155,0.002765,0.161,0.001864,0.152,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,6,8
41,1,0.459044,0.008044,0.451,104,sha3,0.00553,pair=UAV6<->UAV9; config=StadiumSHA3,0.001382,0.002063,0.163,0.002736,0.154,0.001863,0.134,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,6,9
42,1,0.482347,0.009347,0.473,104,sha3,0.006363,pair=UAV7<->UAV8; config=StadiumSHA3,0.001412,0.003246,0.178,0.002815,0.155,0.001874,0.14,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,7,8
43,1,0.453149,0.010149,0.443,104,sha3,0.006782,pair=UAV7<->UAV9; config=StadiumSHA3,0.001292,0.004128,0.155,0.002795,0.154,0.001934,0.134,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,7,9
44,1,0.459244,0.008244,0.451,104,sha3,0.00569,pair=UAV8<->UAV9; config=StadiumSHA3,0.001292,0.002174,0.153,0.002915,0.154,0.001863,0.144,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,8,9
